id,title,team_id,centroid_sentence_id,accepted,detection_date
46904,I had to enter all the info twice.,427,1019366,1,2022-04-28 13:34:36
46905,scanning passport is very difficult,427,1019371,1,2022-04-28 13:34:36
46908,There appears to be an issue saving boarding passes to GPay.,427,1019390,1,2022-04-28 13:34:36
46914,$35 bag fee!!!We have the United credit card so we could get a free checked bag.,427,1019416,1,2022-04-28 13:34:36
46920,All documents uploaded (took multiple attempts.),427,1019477,1,2022-04-28 13:34:36
46923,no option for Canada when entering credit card detail,427,1020461,1,2022-04-28 13:34:36
46932,crashes sometimes,427,1019570,1,2022-04-28 13:34:36
46936,Seems redundant to have to enter credit card information twice !,427,1023795,1,2022-04-28 13:34:36
46966,Travel-Ready Center does not work.,427,1020492,1,2022-04-28 13:34:36
46968,Also does not accept valid date of passport expiration,427,1020632,1,2022-04-28 13:34:36
46970,Out of date covid requirements.,427,1020789,1,2022-04-28 13:34:36
46973,If I type In most airport codes it tells me it doesn’t exist,427,1023740,1,2022-04-28 13:34:36
56726,Once again the app will not download.,427,1019785,1,2022-05-10 10:04:56
56744,Slow to load.,427,1022220,1,2022-05-10 10:04:56
56748,Why has United excluded my TSA # from my boarding pass?,427,1023633,1,2022-05-10 10:04:56
103529,Easy check in,427,1231149,0,2022-05-17 10:09:41
103530,Easy and quick to use,427,1020004,0,2022-05-17 10:09:41
103531,Best airline,427,1230710,0,2022-05-17 10:09:41
103532,needs improvement.,427,1019973,0,2022-05-17 10:09:41
103533,United,427,1022389,0,2022-05-17 10:09:41
103534,Great,427,1019400,0,2022-05-17 10:09:41
103535,Easy to use,427,1023905,0,2022-05-17 10:09:40
103536,Terrible,427,1023506,0,2022-05-17 10:09:41
103537,Very frustrating,427,1019406,0,2022-05-17 10:09:41
103538,Confusing,427,1022521,0,2022-05-17 10:09:41
103539,works great,427,1019771,0,2022-05-17 10:09:41
103540,I just want to check in and have a boarding pass.,427,1023449,0,2022-05-17 10:09:40
103541,not very user friendly,427,1019619,0,2022-05-17 10:09:41
103542,I continually get errors from the app.,427,1023483,0,2022-05-17 10:09:40
103543,Garbage.,427,1021080,0,2022-05-17 10:09:40
103544,Scanning,427,1231303,0,2022-05-17 10:09:40
103545,Downloaded app.,427,1019476,0,2022-05-17 10:09:40
103546,One of the best airline apps.,427,1230483,0,2022-05-17 10:09:40
103547,They change my seat,427,1023714,0,2022-05-17 10:09:41
103548,easy,427,1019491,0,2022-05-17 10:09:40
103549,Excellent,427,1019510,0,2022-05-17 10:09:41
103550,great App.,427,1020614,0,2022-05-17 10:09:40
103551,"the app won't let me enter my mileage plus number.",427,1020046,0,2022-05-17 10:09:40
103552,great service,427,1019750,0,2022-05-17 10:09:40
103553,Great check in process,427,1020708,0,2022-05-17 10:09:41
103554,The app says I have no connectivity.,427,1021013,0,2022-05-17 10:09:41
103555,Useless,427,1020116,0,2022-05-17 10:09:41
103556,sucks,427,1020062,0,2022-05-17 10:09:41
103557,Please fix this.,427,1231443,0,2022-05-17 10:09:40
103558,Horrible customer service.,427,1231249,0,2022-05-17 10:09:41
103559,awful.,427,1022178,0,2022-05-17 10:09:41
103560,love it!,427,1020751,0,2022-05-17 10:09:40
103561,Worst experience ever,427,1230714,0,2022-05-17 10:09:40
103562,My flight was cancelled today.,427,1023729,0,2022-05-17 10:09:41
103563,I enjoy flying United.,427,1020833,0,2022-05-17 10:09:40
103564,The worst airline,427,1023701,0,2022-05-17 10:09:40
103565,"Will
Never fly united again.",427,1231101,0,2022-05-17 10:09:41
103566,App easy to use.,427,1020423,0,2022-05-17 10:09:40
103567,Ridiculous.,427,1022527,0,2022-05-17 10:09:40
103568,good,427,1019734,0,2022-05-17 10:09:41
103569,If I checked my bag separately (vs through the flight check in) it would have been $30,427,1230297,0,2022-05-17 10:09:40
103570,thank you,427,1021352,0,2022-05-17 10:09:40
103571,Waste of time.,427,1020137,0,2022-05-17 10:09:40
103572,I have to input it each time.,427,1019949,0,2022-05-17 10:09:40
103573,Delta app is better.,427,1022963,0,2022-05-17 10:09:41
103574,easy to navigate,427,1021419,0,2022-05-17 10:09:41
103575,"We're now trying to use the Travel Ready function again.",427,1020225,0,2022-05-17 10:09:40
103576,hard to change flights in the app,427,1021749,0,2022-05-17 10:09:40
103577,In fact I paid3 times and the bags don’t show up.,427,1230808,0,2022-05-17 10:09:41
103578,Hard to scan passport.,427,1231112,0,2022-05-17 10:09:41
